,Building_Project_Name,Street_Name,Postal_District,Type,No_of_Bedrooms,Monthly_Rent,Floor_Area,Lease_Commencement_Date,Downloaded_At
155,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,1,"2,500",600 to 700,Nov-19,2020-01-22 02:07:15.382087
156,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,"3,200",800 to 900,Nov-19,2020-01-22 02:07:15.408824
157,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,"3,000",800 to 900,Nov-19,2020-01-22 02:07:15.433824
158,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,1,"2,650",600 to 700,Oct-19,2020-01-22 02:07:15.459827
159,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,4,"5,000",1700 to 1800,Oct-19,2020-01-22 02:07:15.485142
160,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,1,"2,900",600 to 700,Oct-19,2020-01-22 02:07:15.507854
161,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,"3,350",800 to 900,Oct-19,2020-01-22 02:07:15.530834
162,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,1,"2,450",600 to 700,Oct-19,2020-01-22 02:07:15.553149
163,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,"3,100",800 to 900,Oct-19,2020-01-22 02:07:15.575151
164,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,"3,100",800 to 900,Oct-19,2020-01-22 02:07:15.598152
165,38 AMBER,AMBER ROAD,15,Non-landed Properties,3,"3,350",1100 to 1200,Dec-19,2020-01-22 02:07:15.791168
166,38 AMBER,AMBER ROAD,15,Non-landed Properties,3,"3,300",1100 to 1200,Dec-19,2020-01-22 02:07:15.811169
167,38 AMBER,AMBER ROAD,15,Non-landed Properties,2,"2,800",800 to 900,Dec-19,2020-01-22 02:07:15.839172
168,38 AMBER,AMBER ROAD,15,Non-landed Properties,3,"3,350",1100 to 1200,Nov-19,2020-01-22 02:07:15.860173
169,38 AMBER,AMBER ROAD,15,Non-landed Properties,2,"2,800",800 to 900,Nov-19,2020-01-22 02:07:15.890175
170,38 AMBER,AMBER ROAD,15,Non-landed Properties,2,"2,800",900 to 1000,Nov-19,2020-01-22 02:07:15.912177
171,38 AMBER,AMBER ROAD,15,Non-landed Properties,2,"2,800",800 to 900,Oct-19,2020-01-22 02:07:15.932178
172,38 AMBER,AMBER ROAD,15,Non-landed Properties,2,"2,800",800 to 900,Oct-19,2020-01-22 02:07:15.951907
173,38 AMBER,AMBER ROAD,15,Non-landed Properties,2,"2,800",800 to 900,Oct-19,2020-01-22 02:07:15.971251
174,38 AMBER,AMBER ROAD,15,Non-landed Properties,3,"3,350",1100 to 1200,Oct-19,2020-01-22 02:07:15.990346
175,38 AMBER,AMBER ROAD,15,Non-landed Properties,2,"2,850",800 to 900,Oct-19,2020-01-22 02:07:16.009331
176,38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"1,900",400 to 500,Dec-19,2020-01-22 02:07:16.965596
177,38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"2,380",600 to 700,Dec-19,2020-01-22 02:07:16.992003
178,38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"2,400",600 to 700,Dec-19,2020-01-22 02:07:17.011005
179,38 I SUITES,IPOH LANE,15,Non-landed Properties,1,"1,850",400 to 500,Dec-19,2020-01-22 02:07:17.033006
180,38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"2,050",500 to 600,Nov-19,2020-01-22 02:07:17.056009
181,38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"1,800",500 to 600,Nov-19,2020-01-22 02:07:17.078143
182,38 I SUITES,IPOH LANE,15,Non-landed Properties,1,"1,800",400 to 500,Nov-19,2020-01-22 02:07:17.097941
183,38 I SUITES,IPOH LANE,15,Non-landed Properties,1,"1,900",400 to 500,Nov-19,2020-01-22 02:07:17.116887
184,38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"3,500",1200 to 1300,Oct-19,2020-01-22 02:07:17.134943
185,38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"2,300",600 to 700,Oct-19,2020-01-22 02:07:17.156945
186,38 I SUITES,IPOH LANE,15,Non-landed Properties,2,"2,000",500 to 600,Oct-19,2020-01-22 02:07:17.178275
187,448@EAST COAST,EAST COAST ROAD,15,Non-landed Properties,1,"1,800",400 to 500,Dec-19,2020-01-22 02:07:19.596599
188,448@EAST COAST,EAST COAST ROAD,15,Non-landed Properties,na*,"1,700",400 to 500,Dec-19,2020-01-22 02:07:19.641712
189,448@EAST COAST,EAST COAST ROAD,15,Non-landed Properties,na*,"1,700",400 to 500,Nov-19,2020-01-22 02:07:19.656713
190,448@EAST COAST,EAST COAST ROAD,15,Non-landed Properties,1,"2,100",400 to 500,Nov-19,2020-01-22 02:07:19.671714
191,448@EAST COAST,EAST COAST ROAD,15,Non-landed Properties,na*,"1,700",400 to 500,Oct-19,2020-01-22 02:07:19.703461
192,6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,2,"3,150",700 to 800,Dec-19,2020-01-22 02:07:20.810203
193,6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-landed Properties,1,"2,250",400 to 500,Dec-19,2020-01-22 02:07:20.838205
